protocol,held_out,model,rmse,mae,r2
LOBO,kiwi-1.csv,PLS,1.5055280428505695,1.1876388236754003,0.2803114406850731
LOBO,kiwi-1.csv,PINN,1.6644072912391614,1.2977411338261196,0.12039817968592037
LOBO,kiwi-2.csv,PLS,1.484465509097029,1.143056943234687,0.300307654233537
LOBO,kiwi-2.csv,PINN,1.6575043037319062,1.2985055773598808,0.12767919690505392
LOBO,kiwi-3.csv,PLS,1.2597211458281614,0.9802526247700155,0.4961332048550662
LOBO,kiwi-3.csv,PINN,1.7021027305411915,1.332955000741141,0.08010462143979213
