model,y_bin,rmse,mae,n
PINN,12-14,1.1023783546235921,0.9235087114969889,150
PINN,<12,1.601012766865984,1.2711062928550263,234
PINN,>14,3.350160321970969,3.2089822292327885,36
PLS,12-14,1.118118278536735,0.8426151173662837,150
PLS,<12,1.3955157537243565,1.0934811320378095,234
PLS,>14,2.250554201532775,2.1053911284066182,36
