protocol,held_out,model,rmse,mae,r2
LOBO,kiwi-1.csv,PLS,1.6907151598326604,1.2885795431442193,0.09237219120085427
LOBO,kiwi-1.csv,SVR,1.6010123928647073,1.256842991879517,0.18612766271917025
LOBO,kiwi-1.csv,STACKED,1.508853119329766,1.2169884463140712,0.27712895318814
LOBO,kiwi-2.csv,PLS,2.2101635863764044,1.627382964523863,-0.5510140752257005
LOBO,kiwi-2.csv,SVR,1.7407617848139008,1.3761686138458173,0.03784378793850085
LOBO,kiwi-2.csv,STACKED,1.6884045688033964,1.3373434062772789,0.09485128844743473
LOBO,kiwi-3.csv,PLS,1.9410758031671131,1.5289233539148892,-0.19633247463405312
LOBO,kiwi-3.csv,SVR,1.9490218622545423,1.4925237787231955,-0.20614722358335702
LOBO,kiwi-3.csv,STACKED,1.8602367929943755,1.4176484132584601,-0.09876131376515263
