protocol,fold,model,rmse,mae,r2
CV,0,PLS,1.1394525041776038,0.8667949026438567,0.558413471802051
CV,0,SVR,1.3680899818073682,1.0580231374784423,0.36342044460736533
CV,0,MPHNN,1.5016152618750909,1.2100542182014102,0.23309651996350278
CV,0,ENSEMBLE,1.2815016497138798,1.003512441702509,0.4414504575178656
CV,1,PLS,1.4277589595617408,1.1786103530338639,0.427004727713717
CV,1,SVR,1.6491324513451104,1.3305477651658326,0.2355442954048762
CV,1,MPHNN,1.7759170807127125,1.3773288295382546,0.1134839169249181
CV,1,ENSEMBLE,1.4856776498029596,1.1893816380145668,0.37957337007203806
CV,2,PLS,1.4741655084188976,1.1733165423894467,0.3443903288055806
CV,2,SVR,1.5325953804499157,1.1966227027074876,0.2913890085783024
CV,2,MPHNN,1.719339101040033,1.2999331179119293,0.1081826028899242
CV,2,ENSEMBLE,1.4129927811537164,1.031792989627051,0.397672424492328
CV,3,PLS,1.3000052584742474,1.0225963735752406,0.3159895930572837
CV,3,SVR,1.5639064076751223,1.1437022959190504,0.01009387951277263
CV,3,MPHNN,1.4140270974832878,1.0981092997959683,0.19074022205823538
CV,3,ENSEMBLE,1.2463297420718307,0.9782647632801635,0.3713073118706489
CV,4,PLS,1.614844519819549,1.2308950462918167,0.21089084228671906
CV,4,SVR,1.5788741911323902,1.2600586468634514,0.24565380034319828
CV,4,MPHNN,1.6779241754385752,1.3874659810747418,0.14803781598814003
CV,4,ENSEMBLE,1.4970236897304483,1.1965911147598127,0.32183870221161515
